Time,evapo temperature,evapo relative humidity,compressor power
1.069500000000000000e+03,1.046697848535020015e+01,5.713012464514339683e+01,4.224979157349640104e+02
1.069750000000000000e+03,1.047836522280599958e+01,5.711656611333850009e+01,4.212172809526060178e+02
1.070000000000000000e+03,1.048826212502580013e+01,5.710718166673210305e+01,4.201455471693059849e+02
1.070250000000000000e+03,1.049701711698510032e+01,5.710019205607800075e+01,4.191746368465049954e+02
1.070500000000000000e+03,1.050520356368289931e+01,5.709274754261409868e+01,4.181510766984359861e+02
1.070750000000000000e+03,1.051323136308949913e+01,5.708313770466310189e+01,4.170162979683919957e+02
1.071000000000000000e+03,1.052179310312680016e+01,5.706800925317929796e+01,4.158662940167270108e+02
1.071250000000000000e+03,1.053097884509499949e+01,5.704738188873219684e+01,4.146550465976420128e+02
1.071500000000000000e+03,1.054077417276469930e+01,5.702180760339030030e+01,4.132791919762789803e+02
1.071750000000000000e+03,1.055132494243060037e+01,5.699087113216540246e+01,4.117444599434130055e+02
1.072000000000000000e+03,1.056266996534199976e+01,5.695466490308970009e+01,4.100770265625819775e+02
1.072250000000000000e+03,1.057476941415779947e+01,5.691361136100199758e+01,4.083112581238179928e+02
1.072500000000000000e+03,1.058752299623579951e+01,5.686836884390910285e+01,4.064846581210890122e+02
1.072750000000000000e+03,1.060082597301260066e+01,5.681953358685039746e+01,4.046227195838520174e+02
1.073000000000000000e+03,1.061457851635839944e+01,5.676762907102710187e+01,4.027422738700059881e+02
1.073250000000000000e+03,1.062856034386929949e+01,5.671383975467099958e+01,4.008938898542809852e+02
1.073500000000000000e+03,1.064237523043130018e+01,5.666027216082559903e+01,3.991696311866450060e+02
1.073750000000000000e+03,1.065577407682189914e+01,5.660808368950200276e+01,3.975945555726589760e+02
1.074000000000000000e+03,1.066863909402819921e+01,5.655772003729990161e+01,3.961557142698829921e+02
1.074250000000000000e+03,1.068110584397209983e+01,5.650829361599269873e+01,3.947756253629900129e+02
1.074500000000000000e+03,1.069360970094130003e+01,5.645741578430730101e+01,3.933144720710640172e+02
1.074750000000000000e+03,1.070642104603379963e+01,5.640387607792540337e+01,3.917245423142759932e+02
1.075000000000000000e+03,1.071965193954699913e+01,5.634738165027199841e+01,3.900127142309859778e+02
1.075250000000000000e+03,1.073360415580600069e+01,5.628648808943000148e+01,3.881168959660159885e+02
1.075500000000000000e+03,1.074893471281660062e+01,5.621779652627139967e+01,3.858780572820119801e+02
1.075750000000000000e+03,1.076595702266699917e+01,5.614003735916840299e+01,3.832805739565100112e+02
1.076000000000000000e+03,1.078469755916190032e+01,5.605345416860900087e+01,3.803858198445739731e+02
1.076250000000000000e+03,1.080507512392549962e+01,5.595867747050869667e+01,3.772573204430939882e+02
1.076500000000000000e+03,1.082700333294570072e+01,5.585619096393799765e+01,3.739353249449779923e+02
1.076750000000000000e+03,1.085032345438789925e+01,5.574679446900599800e+01,3.704697756299059961e+02
1.077000000000000000e+03,1.087483085205670008e+01,5.563145940512379894e+01,3.669108970386420197e+02
1.077250000000000000e+03,1.090005312251600067e+01,5.551259813771550000e+01,3.633790152342069746e+02
1.077500000000000000e+03,1.092515556475139960e+01,5.539449502545699744e+01,3.600749251215449931e+02
1.077750000000000000e+03,1.094959161174280027e+01,5.527955241344820081e+01,3.570630171321159878e+02
1.078000000000000000e+03,1.097306869473660029e+01,5.516878248130269924e+01,3.543305223446449759e+02
1.078250000000000000e+03,1.099542641558960021e+01,5.506262686678149976e+01,3.518468875153059798e+02
1.078500000000000000e+03,1.101657131364940057e+01,5.496132588223360216e+01,3.495847674040620063e+02
1.078750000000000000e+03,1.103648388269169978e+01,5.486484046946480220e+01,3.475126318470000228e+02
1.079000000000000000e+03,1.105519401855440087e+01,5.477296849934209888e+01,3.456000730552129880e+02
1.079250000000000000e+03,1.107316986959190075e+01,5.468312889821749678e+01,3.436955896759030225e+02
1.079500000000000000e+03,1.109148693904269933e+01,5.458959370556910073e+01,3.415077960405890281e+02
1.079750000000000000e+03,1.111077835777309986e+01,5.448956404535559983e+01,3.389583851058559958e+02
1.080000000000000000e+03,1.113129330821599972e+01,5.438237202868359788e+01,3.360877175543880071e+02
1.080250000000000000e+03,1.115421330112089926e+01,5.421798539544140283e+01,3.324121832809440207e+02
1.080500000000000000e+03,1.118187783805099933e+01,5.399510129719830331e+01,3.280063417799229910e+02
1.080750000000000000e+03,1.121312105258120084e+01,5.371519478483549648e+01,3.229984627764450238e+02
1.081000000000000000e+03,1.124802399326179980e+01,5.338127394704370232e+01,3.175210540637269787e+02
1.081250000000000000e+03,1.128443735420479932e+01,5.301023378384449813e+01,3.125983814651539774e+02
1.081500000000000000e+03,1.132135856232380000e+01,5.260786679026320201e+01,3.082334731136480173e+02
1.081750000000000000e+03,1.135798021152420034e+01,5.217934014119290254e+01,3.044020262669649810e+02
1.082000000000000000e+03,1.139271805015900085e+01,5.173917194564970146e+01,3.013013420405019929e+02
1.082250000000000000e+03,1.142463629445980011e+01,5.129293338866440166e+01,2.989696865860599928e+02
1.082500000000000000e+03,1.145233740009090084e+01,5.085607825541419658e+01,2.976956064380649991e+02
